entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
3597936,Advertiser,EUR,0.16568,0.16568,0.02,0.02,0.03,0.02,0.05,0.05,0.11
3598132,Advertiser,EUR,0.2,0.2,0.04,0.04,0.04,0.19,0.06,0.06,0.06
3598133,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3598736,Advertiser,IDR,2826.000014,2826.000014,300,300,300,300,820,820,1780
3602531,Advertiser,CAD,0.25875,0.25875,0.066223,0.066223,0.132445,0.198668,0.132445,0.132445,0.26489
3603831,Advertiser,EUR,0.2,0.2,0.04,0.04,0.04,0.19,0.06,0.06,0.06
3604036,Advertiser,EUR,0.16568,0.16568,0.043913,0.043913,0.087825,0.131738,0.087825,0.087825,0.17565
3604331,Advertiser,INR,14.7335,14.7335,3.573065,3.573065,7.14613,10.719195,7.14613,7.14613,14.29226
3605331,Advertiser,KRW,221.215,221.215,56.55525,56.55525,113.1105,169.66575,113.1105,113.1105,226.221
3605431,Advertiser,ZAR,3.04738,3.04738,0.694093,0.694093,1.388185,2.082278,1.388185,1.388185,2.77637
3605532,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3605533,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3608134,Advertiser,EUR,0.2,0.2,0.04,0.04,0.04,0.19,0.06,0.06,0.06
3608436,Advertiser,EUR,0.14,0.14,0.02,0.01,0.03,0.12,0.02,0.01,0.03
3608634,Advertiser,BRL,1.04369,1.04369,0.193965,0.193965,0.38793,0.581895,0.38793,0.38793,0.77586
3608635,Advertiser,BRL,1.04369,1.04369,0.193965,0.193965,0.38793,0.581895,0.38793,0.38793,0.77586
3608837,Advertiser,EUR,0.16568,0.16568,0.025,0.025,0.025,0.04,0.1,0.1,0.2
3609431,Advertiser,EUR,0.16568,0.16568,0.06,0,0,0,0.07,0.07,0.14
3609432,Advertiser,EUR,0.17,0.17,0.03,0.03,0.03,0.03,0.06,0.06,0.14
3609532,Advertiser,CAD,0.25875,0.25875,0.066195,0.066195,0.13239,0.198585,0.13239,0.13239,0.26478
3610735,Advertiser,BRL,1.04369,1.04369,0.192217,0.192217,0.384435,0.576652,0.384435,0.384435,0.76887
3614335,Advertiser,CAD,0.25875,0.25875,0.066512,0.066512,0.133025,0.199537,0.133025,0.133025,0.26605
3614336,Advertiser,CAD,0.25875,0.25875,0.066512,0.066512,0.133025,0.199537,0.133025,0.133025,0.26605
3616632,Advertiser,SEK,1.69572,1.69572,0.454932,0.454932,0.909865,1.364797,0.909865,0.909865,1.81973
3618331,Advertiser,EUR,0.16568,0.16568,0.044335,0.044335,0.08867,0.133005,0.08867,0.08867,0.17734
3624232,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624234,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624235,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624236,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624237,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624238,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624239,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624240,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3624702,Advertiser,AUD,0.27137,0.27137,0.068445,0.068445,0.13689,0.205335,0.13689,0.13689,0.27378
3626034,Advertiser,EUR,0.16568,0.16568,0.043977,0.043977,0.087955,0.131932,0.087955,0.087955,0.17591
3626231,Advertiser,MYR,0.8157,0.8157,0.105025,0.105025,0.16804,0.105025,0.4201,0.4201,0.4201
3626332,Advertiser,TWD,4.49,5.7094,1.2,0.6,2.4,0.15,1.8,1.2,3.59
3627531,Advertiser,EUR,0.16568,0.16568,0.043977,0.043977,0.087955,0.131932,0.087955,0.087955,0.17591
3627832,Advertiser,GBP,0.14897,0.14897,0.038985,0.038985,0.07797,0.116955,0.07797,0.07797,0.15594
3628332,Advertiser,BRL,1.04369,1.04369,0.192705,0.192705,0.38541,0.578115,0.38541,0.38541,0.77082
3628631,Advertiser,USD,0.2,0.2,0.1,0.05,0.1,0.15,0.1,0.1,0.2
3628831,Advertiser,EUR,0.16568,0.16568,0.03376,0.0422,0.0844,0.1266,0.0844,0.0844,0.1688
3629133,Advertiser,CAD,0.25875,0.25875,0.06635,0.06635,0.1327,0.19905,0.1327,0.1327,0.2654
3634034,Advertiser,SGD,0.26744,0.26744,0.027412,0.013706,0.041118,0.027412,0.13706,0.13706,0.13706
3634335,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3634531,Advertiser,KRW,221.215,221.215,55.97,55.97,111.94,167.91,111.94,111.94,223.88
3637131,Advertiser,EUR,0.16568,0.16568,0.0439,0.0439,0.0878,0.1317,0.0878,0.0878,0.1756
3637531,Advertiser,EUR,0.16568,0.16568,0.0439,0.0439,0.0878,0.1317,0.0878,0.0878,0.1756
3642332,Advertiser,USD,0.2,0.2,0.05,0.05,0.12,0.15,0.1,0.1,0.2
3642340,Advertiser,USD,0.2,0.2,0.05,0.05,0.12,0.15,0.1,0.1,0.2
3642731,Advertiser,AUD,0.27137,0.27137,0.068385,0.068385,0.13677,0.205155,0.13677,0.13677,0.27354
3644034,Advertiser,GBP,0.14897,0.14897,0.03923,0.03923,0.07846,0.11769,0.07846,0.07846,0.15692
3644731,Advertiser,HKD,1.176,1.55039,0.314,0.157,0.627,0.15,0.47,0.314,0.941
3645532,Advertiser,USD,0.2,0.2,0.05,0.05,0.12,0.15,0.1,0.1,0.2
3650880,Advertiser,USD,0.2,0.2,0.03,0.05,0.06,0.15,0.1,0.1,0.2
3651531,Advertiser,KRW,221.215,221.215,55.5265,55.5265,111.053,166.5795,111.053,111.053,222.106
3651533,Advertiser,GBP,0.14897,0.14897,0.03577,0.03577,0.07154,0.10731,0.07154,0.07154,0.14308
3655335,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655336,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655337,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655338,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655339,Advertiser,EUR,0.16568,0.16568,0.044038,0.044038,0.088075,0.132113,0.088075,0.088075,0.17615
3655340,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655341,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655342,Advertiser,EUR,0,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017
3655347,Advertiser,COP,709.693999,709.693999,159.461,159.461,318.922,478.383,318.922,318.922,637.844
3655349,Advertiser,COP,709.693999,709.693999,159.461,159.461,318.922,478.383,318.922,318.922,637.844
3655732,Advertiser,EUR,0.17,0.17,0.03,0.03,0.03,0.03,0.06,0.06,0.14
3656732,Advertiser,CAD,0.25875,0.25875,0.06599,0.06599,0.13198,0.19797,0.13198,0.13198,0.26396
3657032,Advertiser,EUR,0.16568,0.16568,0.044038,0.044038,0.088075,0.132113,0.088075,0.088075,0.17615
3659545,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
3659546,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
3659547,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
3659548,Advertiser,AUD,0.214,0.27137,0.057,0.029,0.114,0.15,0.086,0.057,0.171
3659553,Advertiser,MYR,0.652,0.8157,0.174,0.087,0.348,0.15,0.261,0.174,0.522
3659554,Advertiser,MYR,0.652,0.8157,0.174,0.087,0.348,0.15,0.261,0.174,0.522
3659556,Advertiser,MYR,0.652,0.8157,0.174,0.087,0.348,0.15,0.261,0.174,0.522
3660832,Advertiser,CAD,0.25875,0.25875,0.066398,0.066398,0.132795,0.199193,0.132795,0.132795,0.26559
3665735,Advertiser,HKD,1.55039,1.55039,0.390593,0.390593,0.781185,1.171778,0.781185,0.781185,1.56237
3665736,Advertiser,HKD,1.55039,1.55039,0.390593,0.390593,0.781185,1.171778,0.781185,0.781185,1.56237
3668932,Advertiser,CAD,0.25875,0.25875,0.066852,0.066852,0.133705,0.200557,0.133705,0.133705,0.26741
3669631,Advertiser,EUR,0.16568,0.16568,0.04391,0.04391,0.08782,0.13173,0.08782,0.08782,0.17564
3669637,Advertiser,INR,11.1,14.7335,2.96,1.48,5.92,0.15,4.44,2.96,8.88
